ID,dimension,measure,indicator,source,data ,min_year,max_year,date_obtained,Link,notes
5001,Economic,Children in Poverty,Federal Poverty Level (FPL),United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5002,Economic,Children in Poverty,Federal Poverty Level (FPL),United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5003,Economic,Children in Poverty,Free or Reduced Price Lunch (FRPL),Iowa Department of Education,2018-2024,2018,2024,09/16/25,https://www.iaschoolperformance.gov/ECP/Home/Index,
5004,Economic,Children in Poverty,Medicaid or WIC Receipt at Birth,Iowa's Integrated Data System for Decision-Making (I2D2),2007-2024,2007,2024,09/05/25,https://i2d2.iastate.edu/,
5005,Economic,All People in Poverty,Federal Poverty Level (FPL),United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5006,Economic,Homelessness,Point in Time (PIT),Institute for Community Alliances,2018-2024,2018,2024,09/08/25,https://icalliances.org/pit,
5007,Economic,Homelessness,Point in Time (PIT),U.S. Department of Housing and Urban Development (HUD),2018-2023,2018,2023,09/08/25,https://www.huduser.gov/portal/sites/default/files/xls/2007-2024-PIT-Counts-by-State.xlsb,
5008,Economic,Homelessness,Students Facing Homelessness,Iowa Department of Education,2018-2024,2018,2024,09/11/25,https://www.iaschoolperformance.gov/ECP/Home/Index,
5009,Economic,Unemployment,Unemployment,Iowa Workforce Development,2000-2025,2000,2025,01/09/26,https://workforce.iowa.gov/labor-market-information/indicators/local,
5010,Demographic,Child Demographics,Child Age,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5011,Demographic,Child Demographics,Child Race and Ethnicity,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5012,Demographic,Household Characteristics,Household Type,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5013,Demographic,Household Characteristics,Working Parents,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5014,Demographic,Household Characteristics,Language Spoken at Home,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5015,Demographic,Household Characteristics,Transportation,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5016,Demographic,Household Characteristics,Work Schedules,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5017,Demographic,Household Characteristics,Technology Access,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5018,Demographic,Household Characteristics,Technology Access,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5019,Health and Social Needs,Child Health,Immunizations,Iowa Department of Public Health,2018-2024,2018,2024,09/29/25,https://hhs.iowa.gov/health-prevention/vaccines-immunizations,
5020,Health and Social Needs,Child Health,Child Abuse Or Neglect,Iowa Department of Health and Human Services Child Protective Services,2018-2024,2018,2024,09/29/25,https://hhs.iowa.gov/programs/CPS/child-abuse-statistics,
5021,Health and Social Needs,Child Health,Child Abuse Or Neglect,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5022,Health and Social Needs,Disabilities,Disabilities,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5023,Health and Social Needs,Disabilities,Disabilities,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5024,Health and Social Needs,Disabilities,Disabilities,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5025,Health and Social Needs,Disabilities,Disabilities,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5026,Health and Social Needs,Education,School Enrollment,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5027,Health and Social Needs,Education,Maternal Education,Iowa's Integrated Data System for Decision-Making (I2D2),2007-2024,2007,2024,09/05/25,https://i2d2.iastate.edu/,
5028,Health and Social Needs,Education,Early Literacy Skills,Iowa Department of Education,2015-2025,2015,2025,01/30/26,0,
5029,Health and Social Needs,Education,Dropout Rate,Iowa Department of Education,2017-2024,2017,2024,10/20/25,https://educate.iowa.gov/pk-12/data/education-statistics/graduation-dropout-rates,
5030,Health and Social Needs,Community Crime,Serious Crime,Iowa Department of Public Safety,2018-2024,2018,2024,10/31/25,https://icrime.dps.state.ia.us/CrimeInIowa,
5031,Health and Social Needs,Community Crime,Alcohol and Drug-Related Crime,Iowa Department of Public Safety,2018-2024,2018,2024,11/03/25,https://icrime.dps.state.ia.us/CrimeInIowa,
5032,Health and Social Needs,Community Crime,Arrests,Iowa Department of Public Safety,2018-2024,2018,2024,11/05/25,https://icrime.dps.state.ia.us/CrimeInIowa,
5033,Health and Social Needs,Community Crime,Arrests,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5034,Health and Social Needs,Community Crime,Domestic Violence,Iowa Department of Public Safety,2018-2024,2018,2024,11/05/25,https://icrime.dps.state.ia.us/CrimeInIowa,
5035,Health and Social Needs,Community Crime,Domestic Violence,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://https://data.census.gov/,
5036,Health and Social Needs,Community Crime,Domestic Violence Children Present,Iowa Department of Public Safety,2018-2024,2018,2024,11/05/25,https://icrime.dps.state.ia.us/CrimeInIowa,
5037,Services,Human Services,Availability of Child Care,Iowa Department of Health and Human Services,2007-2025,2007,2025,12/06/23,https://hhs.iowa.gov/about/open-records,
5038,Services,Human Services,SNAP,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5039,Services,Human Services,WIC,Iowa Department of Health and Human Services,2018-2024,2018,2024,01/22/26,https://hhs.iowa.gov/about/open-records,
5040,Services,Human Services,Dental Services,Iowa Department of Health and Human Services,2018-2023,2018,2023,10/07/24,https://hhs.iowa.gov/about/data-reports/health-disease/oral-health/child-dental-services-medicaid-data,
5041,Services,Human Services,Health Coverage,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5042,Services,Human Services,Health Coverage,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5043,Services,Human Services,Foster Care,Iowa Department of Health and Human Services,2018-2024,2018,2024,01/23/26,https://hhs.iowa.gov/about/open-records,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
