figure_id,dimension,measure,indicator,subsets,figure,title,tool_tip_desc,numerator,num_source,denominator,den_source,include_source,notes
ECO.CIP.FPL.001,Economic,Children in Poverty,Federal Poverty Level (FPL),NA,1,Children <6 in Poverty,Children under 6 years of age who live in families with incomes below select federal poverty thresholds.,Number of children under 6 years of age by federal poverty threshold.,ACS,Total number of children under 6 years of age.,ACS,NA,NA
ECO.CIP.FPL.002,Economic,Children in Poverty,Federal Poverty Level (FPL),NA,2,Children <6 in Poverty Over Time,Children under 6 years of age who live in families with incomes below select federal poverty thresholds over time.,Number of children under 6 years of age by federal poverty threshold.,ACS,Total number of children under 6 years of age.,ACS,NA,NA
ECO.CIP.FPL.003,Economic,Children in Poverty,Federal Poverty Level (FPL),NA,3,Children <6 with Families <100% FPL by Race and Ethnicity,Children under 6 years of age who live in families with incomes below the federal poverty level by race and ethnicity.,"Number of children under 6 years of age who live in families with incomes below the federal poverty level, by race.",ACS,"Total number of children under 6 years of age, by race.",ACS,NA,NA
ECO.CIP.FRL.001,Economic,Children in Poverty,Free or Reduced Price Lunch (FRPL),NA,1,Poverty by Public School Grade Level,Public school students who are eligible for free or reduced-price lunch.,Number of public school students who are eligible for free or reduced-price lunch.,IA DOEd,Total number of public school students.,IA DOEd,NA,NA
ECO.CIP.FRL.002,Economic,Children in Poverty,Free or Reduced Price Lunch (FRPL),NA,2,Poverty by Public School Grade Level Over Time,Public school students who are eligible for free or reduced-price lunch over time.,Number of public school students who are eligible for free or reduced-price lunch.,IA DOEd,Total number of public school students.,IA DOEd,NA,NA
ECO.CIP.FRL.003,Economic,Children in Poverty,Free or Reduced Price Lunch (FRPL),NA,3,Students Eligible for FRPL by Public School Grade Level,Public school students who are eligible for free or reduced-price lunch by school grade level.,Number of public school students who are eligible for free or reduced-price lunch by grade level.,IA DOEd,Total number of public school students by grade level.,IA DOEd,NA,NA
ECO.CIP.MOW.001,Economic,Children in Poverty,Medicaid or WIC Receipt at Birth,NA,1,Medicaid or WIC Receipt at Birth,Children born to mothers who received Medicaid or WIC at the time of the child's birth.,Number of children born to mothers who received Medicaid or WIC at time of child's birth.,VS Birth Records,Total number of live births.,VS Birth Records,NA,NA
ECO.CIP.MOW.002,Economic,Children in Poverty,Medicaid or WIC Receipt at Birth,NA,2,Medicaid or WIC Receipt at Birth Over Time,Children born to mothers who received Medicaid or WIC at the time of the child's birth over time.,Number of children born to mothers who received Medicaid or WIC at time of child's birth.,VS Birth Records,Total number of live births.,VS Birth Records,NA,NA
ECO.CIP.MOW.003,Economic,Children in Poverty,Medicaid or WIC Receipt at Birth,NA,3,Medicaid or WIC Receipt at Birth by Race and Ethnicity,Children born to mothers who received Medicaid or WIC at the time of the child's birth by the mother's race and ethnicity.,"Number of children born to mothers who received Medicaid or WIC at time of child's birth, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,NA,NA
ECO.APP.FPL.001,Economic,All People in Poverty,Federal Poverty Level (FPL),NA,1,All People in Poverty,People living below a certain percent of the federal poverty threshold.,Number of people with a family income below a certain percent of the federal poverty threshold.,ACS,Total number of people.,ACS,NA,NA
ECO.APP.FPL.002,Economic,All People in Poverty,Federal Poverty Level (FPL),NA,2,All People in Poverty Over Time,People living below a certain percent of the federal poverty threshold over time.,Number of people with a family income below a certain percent of the federal poverty threshold.,ACS,Total number of people.,ACS,NA,NA
ECO.APP.FPL.003,Economic,All People in Poverty,Federal Poverty Level (FPL),NA,3,All People in Families < 100% FPL by Race and Ethnicity,People living below 100 percent of the federal poverty threshold by race and ethnicity.,"Number of people with familiy incomes below 100 percent of the federal poverty threshold, by race.",ACS,"Total number of people, by race.",ACS,NA,NA
ECO.UNE.UER.001,Economic,Unemployment,Unemployment,NA,1,Unemployment,People ages 16+ in the civilian labor force who are unemployed.,Number of people 16+ in the civilian noninstitutional labor force who are unemployed.,IWD,Total number of people 16+ in the civilian noninstitutional labor force.,IWD,NA,NA
ECO.UNE.UER.002,Economic,Unemployment,Unemployment,NA,2,Unemployment Over Time,People ages 16+ in the civilian labor force who are unemployed over time.,Number of people 16+ in the civilian noninstitutional labor force who are unemployed.,IWD,Total number of people 16+ in the civilian noninstitutional labor force.,IWD,NA,NA
ECO.UNE.UER.003,Economic,Unemployment,Unemployment,NA,3,Unemployment by Race and Ethnicity,People ages 16+ in the civilian labor force who are unemployed by race.,"Number of people 16+ in the civilian labor force who are unemployed, by race.",ACS,"Total number of people 16+ in the civilian labor force, by race.",ACS,NA,NA
ECO.HOM.PIT.001,Economic,Homelessness,Point in Time (PIT),NA,1,Homelessness,"Number of people experiencing homelessness per 10,000 population.","Number of people experiencing homelessness, by type.",ICA,"Total number of people divided by 10,000.",ACS,x,NA
ECO.HOM.PIT.002,Economic,Homelessness,Point in Time (PIT),NA,2,Homelessness Over Time,"Number of people experiencing homelessness per 10,000 population over time.","Number of people experiencing homelessness, by type.",ICA,"Total number of people divided by 10,000.",ACS,x,NA
ECO.HOM.PIT.003,Economic,Homelessness,Point in Time (PIT),NA,3,Homelessness by Race and Ethnicity for State,"Number of people experiencing homelessness per 10,000 population by race.","Number of people experiencing homelessness, by type and race.",HUD,"Total number of people divided by 10,000, by race.",ACS,x,"Race breakout by type is only available for years 2018-2023. When 2024 data is available, then we'll have the race breakout by county from ICA."
ECO.HOM.SEH.001,Economic,Homelessness,Students Facing Homelessness,NA,1,Students Facing Homelessness,Public school students experiencing homelessness.,"Number of homeless K-12 students enrolled in school , by school type.",IA DOEd,"Total number of K-12 students enrolled in school, by school type.",IA DOEd,NA,NA
ECO.HOM.SEH.002,Economic,Homelessness,Students Facing Homelessness,NA,2,Students Facing Homelessness Over Time,Public school students experiencing homelessness over time.,"Number of homeless K-12 students enrolled in school, by school type.",IA DOEd,"Total number of K-12 students enrolled in school, by school type.",IA DOEd,NA,NA
ECO.HOM.SEH.003,Economic,Homelessness,Students Facing Homelessness,NA,3,Students Facing Homelessness by School Grade Level,Public school students experiencing homelessness by school grade level.,"Number of homeless K-12 students enrolled in school, by school grade level.",IA DOEd,"Total number of K-12 students enrolled in school, by school grade level.",IA DOEd,NA,NA
DEM.DEM.AGE.001,Demographic,Child Demographics,Child Age,NA,1,Child Age,All children by age group.,Number of children by age group.,ACS,Total number of children under 18 years old.,ACS,NA,NA
DEM.DEM.AGE.002,Demographic,Child Demographics,Child Age,NA,2,Child Age Over Time,All children by age group over time.,Number of children by age group.,ACS,Total number of children under 18 years old.,ACS,NA,NA
DEM.DEM.AGE.003,Demographic,Child Demographics,Child Age,NA,3,Child Age Groups,All children by age group.,Number of children by age group.,ACS,Total number of children under 18 years old.,ACS,NA,NA
DEM.DEM.RAC.001,Demographic,Child Demographics,Child Race and Ethnicity,NA,1,Child Race and Ethnicity,Children by race and age group.,Number of children by race and age group.,ACS,Total number of children by age group.,ACS,NA,NA
DEM.DEM.RAC.002,Demographic,Child Demographics,Child Race and Ethnicity,NA,2,Child Race and Ethnicity Over Time,Children by race and age group over time.,Number of children by race and age group.,ACS,Total number of children by age group.,ACS,NA,NA
DEM.DEM.RAC.003,Demographic,Child Demographics,Child Race and Ethnicity,NA,3,Child Race and Ethnicity,Children by race and age group.,Number of children by race and age group.,ACS,Total number of children by age group.,ACS,NA,NA
DEM.HSE.TYP.001,Demographic,Household Characteristics,Household Type,NA,1,Household Type for Children,Children by household type and age group.,Number of children by household type and age group.,ACS,Total number of children by age group.,ACS,NA,NA
DEM.HSE.TYP.002,Demographic,Household Characteristics,Household Type,NA,2,Household Type for Children Over Time,Children by household type and age group over time.,Number of children by household type and age group.,ACS,Total number of children by age group.,ACS,NA,NA
DEM.HSE.TYP.003,Demographic,Household Characteristics,Household Type,NA,3,Household Type for Children,Children by household type and age group.,Number of children by household type and age group.,ACS,Total number of children by age group.,ACS,NA,NA
DEM.HSE.WRK.001,Demographic,Household Characteristics,Working Parents,NA,1,Working Parents with Children < 6,Children under 6 years of age by parental work status.,Number of children under 6 years of age by parental work status.,ACS,Total number of children under 6 years of age.,ACS,NA,NA
DEM.HSE.WRK.002,Demographic,Household Characteristics,Working Parents,NA,2,Working Parents with Children < 6 Over Time,Children under 6 years of age by parental work status over time.,Number of children under 6 years of age by parental work status.,ACS,Total number of children under 6 years of age.,ACS,NA,NA
DEM.HSE.WRK.003,Demographic,Household Characteristics,Working Parents,NA,3,Working Parents with Children < 6 by Type,Children under 6 years of age by parental work status.,Number of children under 6 years of age by parental work status.,ACS,Total number of children under 6 years of age.,ACS,NA,NA
DEM.HSE.LNG.001,Demographic,Household Characteristics,Language Spoken at Home,NA,1,Language Spoken at Home for Children 5 to 17,Children ages 5-17 by language spoken at home.,Number of children ages 5-17 by language spoken at home.,ACS,Total number of children ages 5-17.,ACS,NA,NA
DEM.HSE.LNG.002,Demographic,Household Characteristics,Language Spoken at Home,NA,2,Language Spoken at Home for Children 5 to 17 Over Time,Children ages 5-17 by language spoken at home over time.,Number of children ages 5-17 by language spoken at home.,ACS,Total number of children ages 5-17.,ACS,NA,NA
DEM.HSE.LNG.003,Demographic,Household Characteristics,Language Spoken at Home,NA,3,Language Spoken at Home for Children 5 to 17 by Poverty,Children ages 5-17 by language spoken at home and federal poverty level.,Number of children ages 5-17 by language spoken at home and poverty level.,ACS,"Total number of children ages 5-17, by language spoken at home.",ACS,NA,NA
DEM.HSE.TRN.001,Demographic,Household Characteristics,Transportation,NA,1,Transportation to Work,People leaving for work by means of transportation.,Number of people by means of transportation to work.,ACS,Total number of people leaving for work.,ACS,NA,NA
DEM.HSE.TRN.002,Demographic,Household Characteristics,Transportation,NA,2,Transportation to Work Over Time,People leaving for work by means of transportation over time.,Number of people by means of transportation to work.,ACS,Total number of people leaving for work.,ACS,NA,NA
DEM.HSE.TRN.003,Demographic,Household Characteristics,Transportation,NA,3,Transportation to Work by Federal Poverty Level,People leaving for work by means of transportation and federal poverty level.,Number of people by federal poverty level and means of transportation to work.,ACS,Total number of people leaving for work by means of transportation.,ACS,NA,NA
DEM.HSE.SCH.001,Demographic,Household Characteristics,Work Schedules,NA,1,Non-Standard Work Hours,People leaving for work between 4:00 p.m. and 6:00 a.m.,Number people leaving for work at non-standard hours.,ACS,Total number of people leaving for work.,ACS,NA,NA
DEM.HSE.SCH.002,Demographic,Household Characteristics,Work Schedules,NA,2,Non-Standard Work Hours Over Time,People leaving for work between 4:00 p.m. and 6:00 a.m. over time.,Number people leaving for work at non-standard hours.,ACS,Total number of people leaving for work.,ACS,NA,NA
DEM.HSE.SCH.003,Demographic,Household Characteristics,Work Schedules,NA,3,Non-Standard Work Hours,People leaving for work between 4:00 p.m. and 6:00 a.m.,Number people leaving for work at non-standard hours.,ACS,Total number of people leaving for work.,ACS,NA,NA
DEM.HSE.TCH.001,Demographic,Household Characteristics,Technology Access,Computing Device,1,Household Computing Devices,Households by computing device type.,Number of households by computing device type.,ACS,Total number of households.,ACS,NA,NA
DEM.HSE.TCH.002,Demographic,Household Characteristics,Technology Access,Computing Device,2,Household Computing Devices Over Time,Households by computing device type over time.,Number of households by computing device type.,ACS,Total number of households.,ACS,NA,NA
DEM.HSE.TCH.003,Demographic,Household Characteristics,Technology Access,Computing Device,3,Household Computing Devices by Type,Households by computing device type.,Number of households by computing device type.,ACS,Total number of households.,ACS,NA,NA
DEM.HSE.TCH.001,Demographic,Household Characteristics,Technology Access,Internet Access,1,Household Internet Access,Households with a computer by internet access type.,Number of households with a computer by internet access.,ACS,Total number of households with a computer.,ACS,NA,NA
DEM.HSE.TCH.002,Demographic,Household Characteristics,Technology Access,Internet Access,2,Household Internet Access Over Time,Households with a computer by internet access type over time.,Number of households with a computer by internet access.,ACS,Total number of households with a computer.,ACS,NA,NA
DEM.HSE.TCH.003,Demographic,Household Characteristics,Technology Access,Internet Access,3,Household Internet Access by Type,Households with a computer by internet access type.,Number of households with a computer by internet access.,ACS,Total number of households with a computer.,ACS,NA,NA
HSN.RSK.BTM.001,Health and Social Needs,Birth Risks,Birth to Teenage Mother,NA,1,Birth to Teenage Mother,Children born to mothers under the age of 20 at time of birth.,Number of children born to mothers under the age 20 at time of birth.,VS Birth Records,Total number of live births.,VS Birth Records,NA,NA
HSN.RSK.BTM.002,Health and Social Needs,Birth Risks,Birth to Teenage Mother,NA,2,Birth to Teenage Mother Over Time,Children born to mothers under the age of 20 at time of birth over time.,Number of children born to mothers under the age 20 at time of birth.,VS Birth Records,Total number of live births.,VS Birth Records,NA,NA
HSN.RSK.BTM.003,Health and Social Needs,Birth Risks,Birth to Teenage Mother,NA,3,Birth to Teenage Mother by Race and Ethnicity,Children born to mothers under the age of 20 at time of birth by race and ethnicity.,Number of children born to mothers under the age 20 at time of birth by race and ethnicity.,VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,NA,NA
HSN.RSK.BTM.004,Health and Social Needs,Birth Risks,Birth to Teenage Mother,NA,4,Birth to Teenage Mother by Race and Ethnicity Over Time,Children born to mothers under the age of 20 at time of birth by race and ethnicity over time.,Number of mothers under the age 20 at time of birth by race and ethnicity.,VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,NA,NA
HSN.RSK.BUM.001,Health and Social Needs,Birth Risks,Birth to Unmarried Mother,NA,1,Birth to Unmarried Mother,Children born to mothers who were not married at time of birth.,Number of children born to mothers who were not married at the time of the child's birth.,VS Birth Records,Total number of live births.,VS Birth Records,NA,NA
HSN.RSK.BUM.002,Health and Social Needs,Birth Risks,Birth to Unmarried Mother,NA,2,Birth to Unmarried Mother Over Time,Children born to mothers who were not married at time of birth over time.,Number of children born to mothers who were not married at the time of the child's birth.,VS Birth Records,Total number of live births.,VS Birth Records,NA,NA
HSN.RSK.BUM.003,Health and Social Needs,Birth Risks,Birth to Unmarried Mother,NA,3,Birth to Unmarried Mother by Race and Ethnicity,Children born to mothers who were not married at time of birth by race and ethnicity.,"Number of children born to mothers who were not married at the time of the child's birth, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,NA,NA
HSN.RSK.BUM.004,Health and Social Needs,Birth Risks,Birth to Unmarried Mother,NA,4,Birth to Unmarried Mother by Race and Ethnicity Over Time,Children born to mothers who were not married at time of birth by race and ethnicity over time.,"Number of children born to mothers who were not married at the time of the child's birth, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,NA,NA
DEM.HSE.FTM.001,Demographic,Household Characteristics,First Time Mother,NA,1,First Time Mother,Children born to mothers who never previously gave birth.,Number of children born to mothers who never previously gave birth.,VS Birth Records,Total number of live births.,VS Birth Records,NA,NA
DEM.HSE.FTM.002,Demographic,Household Characteristics,First Time Mother,NA,2,First Time Mother Over Time,Children born to mothers who never previously gave birth.,Number of children born to mothers who never previously gave birth.,VS Birth Records,Total number of live births.,VS Birth Records,NA,NA
DEM.HSE.FTM.003,Demographic,Household Characteristics,First Time Mother,NA,3,First Time Mother by Race and Ethnicity,Children born to mothers who never previously gave birth by race and ethnicity.,"Number of children born to mothers who never previously gave birth, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,NA,NA
DEM.HSE.FTM.004,Demographic,Household Characteristics,First Time Mother,NA,4,First Time Mother by Race and Ethnicity Over Time,Children born to mothers who had never previously given birth by race and ethnicity over time.,"Number of children born to mothers who never previously gave birth, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,NA,NA
HSN.RSK.IPC.001,Health and Social Needs,Birth Risks,Inadequate Prenatal Care,NA,1,Inadequate Prenatal Care,Children born to mothers who received no prenatal care during the first trimester or who had fewer than four prenatal visits in total.,Number of children born to mothers who received no prenatal care during the first trimester or who had fewer than four prenatal visits in total.,VS Birth Records,Total number of live births.,VS Birth Records,NA,NA
HSN.RSK.IPC.002,Health and Social Needs,Birth Risks,Inadequate Prenatal Care,NA,2,Inadequate Prenatal Care Over Time,Children born to mothers who received no prenatal care during the first trimester or who had fewer than four prenatal visits in total over time.,Number of children born to mothers who received no prenatal care during the first trimester or who had fewer than four prenatal visits in total.,VS Birth Records,Total number of live births.,VS Birth Records,NA,NA
HSN.RSK.IPC.003,Health and Social Needs,Birth Risks,Inadequate Prenatal Care,NA,3,Inadequate Prenatal Care by Race and Ethnicity,Children born to mothers who received no prenatal care during the first trimester or who had fewer than four prenatal visits in total by race and ethnicity.,"Number of children born to mothers who received no prenatal care during the first trimester or who had fewer than four prenatal visits in total, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,NA,NA
HSN.RSK.IPC.004,Health and Social Needs,Birth Risks,Inadequate Prenatal Care,NA,4,Inadequate Prenatal Care by Race and Ethnicity Over Time,Children born to mothers who received no prenatal care during the first trimester or who had fewer than four prenatal visits in total by race and ethnicity over time.,"Number of children born to mothers who received no prenatal care during the first trimester or who had fewer than four prenatal visits in total, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,NA,NA
HSN.RSK.PLW.001,Health and Social Needs,Birth Risks,Preterm or Low Birth Weight,NA,1,Preterm or Low Birth Weight,Children born weighing less than 2500 grams or prior to 37 weeks gestation.,Number of children born weighing less than 2500 grams or prior to 37 weeks gestation.,VS Birth Records,Total number of live births.,VS Birth Records,NA,NA
HSN.RSK.PLW.002,Health and Social Needs,Birth Risks,Preterm or Low Birth Weight,NA,2,Preterm or Low Birth Weight Over Time,Children born weighing less than 2500 grams or prior to 37 weeks gestation over time.,Number of children born weighing less than 2500 grams or prior to 37 weeks gestation.,VS Birth Records,Total number of live births.,VS Birth Records,NA,NA
HSN.RSK.PLW.003,Health and Social Needs,Birth Risks,Preterm or Low Birth Weight,NA,3,Preterm or Low Birth Weight by Race and Ethnicity,Children born weighing less than 2500 grams or prior to 37 weeks gestation by race and ethnicity.,Number of children born weighing less than 2500 grams or prior to 37 weeks gestation by race and ethnicity.,VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,NA,NA
HSN.RSK.PLW.004,Health and Social Needs,Birth Risks,Preterm or Low Birth Weight,NA,4,Preterm or Low Birth Weight by Race and Ethnicity Over Time,Children born weighing less than 2500 grams or prior to 37 weeks gestation by race and ethnicity over time.,Number of children born weighing less than 2500 grams or prior to 37 weeks gestation by race and ethnicity.,VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,NA,NA
HSN.RSK.PTE.001,Health and Social Needs,Birth Risks,Prenatal Tobacco Exposure,NA,1,Prenatal Tobacco Exposure,Children born to mothers who used tobacco in the three months prior to pregnancy or at any time during pregnancy.,Number of children born to mothers who reported using tobacco in the three months prior to pregnancy or at any time during pregnancy.,VS Birth Records,Total number of live births.,VS Birth Records,NA,NA
HSN.RSK.PTE.002,Health and Social Needs,Birth Risks,Prenatal Tobacco Exposure,NA,2,Prenatal Tobacco Exposure Over Time,Children born to mothers who used tobacco in the three months prior to pregnancy or at any time during pregnancy over time.,Number of children born to mothers who reported using tobacco in the three months prior to pregnancy or at any time during pregnancy.,VS Birth Records,Total number of live births.,VS Birth Records,NA,NA
