figure_id,dimension,measure,indicator,subsets,figure,title,tool_tip_desc,numerator,num_source,denominator,den_source,include_source,notes
HSN.RSK.PTE.003,Health and Social Needs,Birth Risks,Prenatal Tobacco Exposure,NA,3,Prenatal Tobacco Exposure by Race and Ethnicity,Children born to mothers who used tobacco in the three months prior to pregnancy or at any time during pregnancy by race and ethnicity.,"Number of children born to mothers who reported using tobacco in the three months prior to pregnancy or at any time during pregnancy, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,NA,NA
HSN.RSK.PTE.004,Health and Social Needs,Birth Risks,Prenatal Tobacco Exposure,NA,4,Prenatal Tobacco Exposure by Race and Ethnicity Over Time,Children born to mothers who used tobacco in the three months prior to pregnancy or at any time during pregnancy by race and ethnicity over time.,"Number of children born to mothers who reported using tobacco in the three months prior to pregnancy or at any time during pregnancy, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,NA,NA
HSN.RSK.LME.001,Health and Social Needs,Birth Risks,Low Maternal Education at Birth,NA,1,Low Maternal Education at Birth,Children born to mothers over the age of 19 with less than a high school degree.,Number of children born to mothers over the age of 19 with less than a high school degree.,VS Birth Records,Total number of live births.,VS Birth Records,NA,NA
HSN.RSK.LME.002,Health and Social Needs,Birth Risks,Low Maternal Education at Birth,NA,2,Low Maternal Education at Birth Over Time,Children born to mothers over the age of 19 with less than a high school degree over time.,Number of children born to mothers over the age of 19 with less than a high school degree.,VS Birth Records,Total number of live births.,VS Birth Records,NA,NA
HSN.RSK.LME.003,Health and Social Needs,Birth Risks,Low Maternal Education at Birth,NA,3,Low Maternal Education at Birth by Race and Ethnicity,Children born to mothers over the age of 19 with less than a high school degree by race and ethnicity.,"Number of children born to mothers over the age of 19 with less than a high school degree, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,NA,NA
HSN.RSK.LME.004,Health and Social Needs,Birth Risks,Low Maternal Education at Birth,NA,4,Low Maternal Education at Birth by Race and Ethnicity Over Time,Children born to mothers over the age of 19 with less than a high school degree by race and ethnicity over time.,"Number of children born to mothers over the age of 19 with less than a high school degree, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,NA,NA
HSN.RSK.MOW.001,Health and Social Needs,Birth Risks,Medicaid or WIC Receipt at Birth,NA,1,Medicaid or WIC Receipt at Birth,Children born to mothers who received Medicaid or WIC at the time of the child's birth.,Number of children born to mothers who received Medicaid or WIC at time of child's birth.,VS Birth Records,Total number of live births.,VS Birth Records,NA,NA
HSN.RSK.MOW.002,Health and Social Needs,Birth Risks,Medicaid or WIC Receipt at Birth,NA,2,Medicaid or WIC Receipt at Birth Over Time,Children born to mothers who received Medicaid or WIC at the time of the child's birth over time.,Number of children born to mothers who received Medicaid or WIC at time of child's birth.,VS Birth Records,Total number of live births.,VS Birth Records,NA,NA
HSN.RSK.MOW.003,Health and Social Needs,Birth Risks,Medicaid or WIC Receipt at Birth,NA,3,Medicaid or WIC Receipt at Birth by Race and Ethnicity,Children born to mothers who received Medicaid or WIC at the time of the child's birth by the mother's race and ethnicity.,"Number of children born to mothers who received Medicaid or WIC at time of child's birth, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,NA,NA
HSN.RSK.MOW.004,Health and Social Needs,Birth Risks,Medicaid or WIC Receipt at Birth,NA,4,Medicaid or WIC Receipt at Birth by Race and Ethnicity Over Time,Children born to mothers who received Medicaid or WIC at the time of the child's birth over time by the mother's race and ethnicity.,"Number of children born to mothers who received Medicaid or WIC at time of child's birth, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,NA,NA
HSN.RSK.CUM.001,Health and Social Needs,Birth Risks,Cumulative Birth Risks,NA,1,Cumulative Birth Risks,Births by number of risk factors.,Number of births by number of risk factors.,VS Birth Records,Total number of live births.,VS Birth Records,NA,NA
HSN.RSK.CUM.002,Health and Social Needs,Birth Risks,Cumulative Birth Risks,NA,2,Cumulative Birth Risks Over Time,Births by number of risk factors over time.,Number of births by number of risk factors.,VS Birth Records,Total number of live births.,VS Birth Records,NA,NA
HSN.RSK.CUM.003,Health and Social Needs,Birth Risks,Cumulative Birth Risks,NA,3,Cumulative Birth Risks by Race and Ethnicity,Births by number of risk factors and race and ethnicity.,Number of births by number of risk factors and race and ethnicity.,VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,NA,NA
HSN.RSK.CUM.004,Health and Social Needs,Birth Risks,Cumulative Birth Risks,NA,4,Cumulative Birth Risks by Race and Ethnicity Over Time,Births by number of risk factors and race and ethnicity over time.,Number of births by number of risk factors and race and ethnicity.,VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,NA,NA
HSN.RSK.CUM.005,Health and Social Needs,Birth Risks,Cumulative Birth Risks,NA,5,Cumulative Birth Risks by Race and Ethnicity,Birth risks by race and ethnicity.,Number of births by cumulative birth risk and race and ethnicity.,VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,NA,NA
HSN.RSK.CUM.006,Health and Social Needs,Birth Risks,Cumulative Birth Risks,NA,6,Statewide Cumulative Birth Risks,Birth risks by cumulative number of birth risks.,Number of births by cumulative birth risk.,VS Birth Records,Total number of live births.,VS Birth Records,NA,NA
HSN.CHL.IMM.001,Health and Social Needs,Child Health,Immunizations,2-year-old Children,1,Immunization Rate for 2-year-old Children,2-year-old children who have received the recommended vaccinations.,Number of 2-year-old children who received the recommended vaccinations by age 24 months.,IA DOEd,Total number of 2-year-old children with a record in the Immunization Registry Information System (IRIS).,IA DOEd,NA,NA
HSN.CHL.IMM.002,Health and Social Needs,Child Health,Immunizations,2-year-old Children,2,Immunization Rate for 2-year-old Children Over Time,2-year-old children who have received the recommended vaccinations over time.,Number of 2-year-old children who received the recommended vaccinations by age 24 months.,IA DOEd,Total number of 2-year-old children with a record in the Immunization Registry Information System (IRIS).,IA DOEd,NA,NA
HSN.CHL.IMM.001,Health and Social Needs,Child Health,Immunizations,Childcare,1,Immunization Rate for Children in Child Care,Children enrolled in childcare who have a certificate of immunization.,Number of children enrolled in child care with a certificate of immunization.,IA DOEd,Total number of children enrolled in child care.,IA DOEd,NA,NA
HSN.CHL.IMM.002,Health and Social Needs,Child Health,Immunizations,Childcare,2,Immunization Rate for Children in Child Care Over Time,Children enrolled in childcare who have a certificate of immunization over time.,Number of children enrolled in child care with a certificate of immunization.,IA DOEd,Total number of children enrolled in child care.,IA DOEd,NA,NA
HSN.CHL.IMM.001,Health and Social Needs,Child Health,Immunizations,School Age,1,Immunization Rate for School Age Children,Children enrolled in school who have a certificate of immunization.,Number of students with a certificate of immunization.,IA DOEd,Total number of students enrolled in school.,IA DOEd,NA,NA
HSN.CHL.IMM.002,Health and Social Needs,Child Health,Immunizations,School Age,2,Immunization Rate for School Age Children Over Time,Children enrolled in school who have a certificate of immunization over time.,Number of students with a certificate of immunization.,IA DOEd,Total number of students enrolled in school.,IA DOEd,NA,NA
HSN.CHL.IMM.003,Health and Social Needs,Child Health,Immunizations,NA,3,Immunization Rate by Age Group,Vaccinated children by age group.,Number of immunized children by group.,IA DOEd,Total number of children by group.,IA DOEd,NA,NA
HSN.CHL.CAN.001,Health and Social Needs,Child Health,Child Abuse or Neglect,NA,1,"Child Abuse or Neglect (per 1,000 children)","Rate of children who are victims of confirmed/founded abuse or neglect per 1,000 children by age group.",Number confirmed/founded abuse or neglect victims by age.,IA HHS,"Total number of children divided by 1,000, by age group.",ACS,x,NA
HSN.CHL.CAN.002,Health and Social Needs,Child Health,Child Abuse or Neglect,NA,2,"Child Abuse or Neglect (per 1,000 children) Over Time","Rate of children who are victims of confirmed/founded abuse or neglect per 1,000 children by age group over time.",Number confirmed/founded abuse or neglect victims by age.,IA HHS,"Total number of children divided by 1,000, by age group.",ACS,x,NA
HSN.CHL.CAN.003,Health and Social Needs,Child Health,Child Abuse or Neglect,NA,3,Neglect vs All Other Case Types,Child victims of confirmed/founded abuse or neglect by abuse type.,Number of child victims of confirmed/founded abuse by abuse type.,IA HHS,Total number of child victims of confirmed/founded abuse.,IA HHS,NA,NA
HSN.CHL.CAN.004,Health and Social Needs,Child Health,Child Abuse or Neglect,NA,4,Child Abuse or Neglect by Age Group,Child victims of confirmed/founded abuse or neglect by age group.,Number of child victims of confirmed/founded abuse by age group.,IA HHS,Total number of child victims of confirmed/founded abuse.,IA HHS,NA,NA
HSN.DIS.CDS.001,Health and Social Needs,Disabilities,Disabilities,NA,1,Children with a Disability,Children with a disability.,"Number of children with a disability, by age group.",ACS,Total number of children by age group.,ACS,NA,NA
HSN.DIS.CDS.002,Health and Social Needs,Disabilities,Disabilities,NA,2,Children with a Disability Over Time,Children with a disability over time.,"Number of children with a disability, by age group.",ACS,Total number of children by age group.,ACS,NA,NA
HSN.DIS.CDS.003,Health and Social Needs,Disabilities,Disabilities,NA,3,All Children < 18 with a Disability by Race and Ethnicity,Children with a disability by race.,"Number of children with a disability, by race.",ACS,Total number of children by race.,ACS,NA,NA
HSN.DIS.CDS.004,Health and Social Needs,Disabilities,Disabilities,NA,4,Children with a Disability by Hearing and Vision Difficulties,Children with a disability by disability type.,Number of children with a disability by disability type and age group.,ACS,Total number of children by age group.,ACS,NA,NA
HSN.EDU.SCH.001,Health and Social Needs,Education,School Enrollment,NA,1,Children Enrolled in Public School,Children enrolled in public school.,Number of students ages 3-17 enrolled in public school by age group.,ACS,Total number of children ages 3-17 by age group.,ACS,NA,NA
HSN.EDU.SCH.002,Health and Social Needs,Education,School Enrollment,NA,2,Children Enrolled in Public School Over Time,Children enrolled in public school over time.,Number of students ages 3-17 enrolled in public school by age group.,ACS,Total number of children ages 3-17 by age group.,ACS,NA,NA
HSN.EDU.SCH.003,Health and Social Needs,Education,School Enrollment,NA,3,School Enrollment by Type,Children by school enrollment type.,Number of students ages 3-17 enrolled in school by age group and enrollment type.,ACS,Total number of children ages 3-17 by age group.,ACS,NA,NA
HSN.EDU.EAM.001,Health and Social Needs,Education,Maternal Education,NA,1,Maternal Education,Children born by mother's education level.,Number of children born by mother's education level.,VS Birth Records,Total number of live births.,VS Birth Records,NA,NA
HSN.EDU.EAM.002,Health and Social Needs,Education,Maternal Education,NA,2,Maternal Education Over Time,Children born by mother's education level.,Number of children born by mother's education level.,VS Birth Records,Total number of live births.,VS Birth Records,NA,NA
HSN.EDU.EAM.003,Health and Social Needs,Education,Maternal Education,NA,3,Maternal Education by Type,Children born by mother's education level.,Number of children born by mother's education level.,VS Birth Records,Total number of live births.,VS Birth Records,NA,NA
HSN.EDU.ELS.001,Health and Social Needs,Education,Early Literacy Skills,NA,1,Kindergartners Meeting Early Literacy Requirements,NA,NA,NA,NA,NA,NA,Do not have data yet
HSN.EDU.ELS.002,Health and Social Needs,Education,Early Literacy Skills,NA,2,Kindergartners Meeting Early Literacy Requirements Over Time,NA,NA,NA,NA,NA,NA,NA
HSN.EDU.HDP.001,Health and Social Needs,Education,Dropout Rate,NA,1,Dropout Rate,Students in grades 7-12 classified as dropped out.,Number of students classified as dropped out in the school year.,IA DOEd,Total fall enrollment.,IA DOEd,NA,NA
HSN.EDU.HDP.002,Health and Social Needs,Education,Dropout Rate,NA,2,Dropout Rate Over Time,Students in grades 7-12 classified as dropped out over time.,Number of students classified as dropped out in the school year.,IA DOEd,Total fall enrollment.,IA DOEd,NA,NA
HSN.EDU.HDP.003,Health and Social Needs,Education,Dropout Rate,NA,3,Dropout Rate by Race and Ethnicity,Students in grades 7-12 classified as dropped out by race and ethnicity.,"Number of students classified as dropped out in the school year, by race.",IA DOEd,"Total fall enrollment, by race.",IA DOEd,NA,NA
HSN.EDU.HDP.004,Health and Social Needs,Education,Dropout Rate,NA,4,Dropout Rate by Sex,Students in grades 7-12 classified as dropped out by sex.,Number of female students classified as dropped out in the school year.,IA DOEd,Total number of female students in fall enrollment.,IA DOEd,NA,NA
HSN.CRM.SER.001,Health and Social Needs,Community Crime,Serious Crime,NA,1,"Serious Crime (per 100,000 population)","Rate of serious crime incidents per 100,000 population.",Number of serious crime incidents.,IA DPS,"Total number of people divided by 100,000.",ACS,x,NA
HSN.CRM.SER.002,Health and Social Needs,Community Crime,Serious Crime,NA,2,"Serious Crime (per 100,000 population) Over Time","Rate of serious crime incidents per 100,000 population over time.",Number of serious crime incidents.,IA DPS,"Total number of people divided by 100,000.",ACS,x,NA
HSN.CRM.ADR.001,Health and Social Needs,Community Crime,Alcohol and Drug-Related Crime,NA,1,"Alcohol and Drug-Related Crime (per 1,000 population)","Rate of alcohol and drug-related incidents per 1,000 population.",Number of alcohol and drug-related incidents by age group.,IA DPS,"Total number of people divided by 1,000, by age group.",ACS,x,NA
HSN.CRM.ADR.002,Health and Social Needs,Community Crime,Alcohol and Drug-Related Crime,NA,2,"Alcohol and Drug-Related Crime (per 1,000 population) Over Time","Rate of alcohol and drug-related incidents per 1,000 population over time.",Number of alcohol and drug-related incidents by age group.,IA DPS,"Total number of people divided by 1,000, by age group.",ACS,x,NA
HSN.CRM.ADR.003,Health and Social Needs,Community Crime,Alcohol and Drug-Related Crime,NA,3,"Alcohol and Drug-Related Crime (per 1,000 population) by Age Group","Rate of alcohol and drug-related incidents per 1,000 population by age group.",Number of alcohol and drug-related incidents by age group.,IA DPS,"Total number of people divided by 1,000, by age group.",ACS,x,NA
HSN.CRM.ARR.001,Health and Social Needs,Community Crime,Arrest,NA,1,"Arrests per 1,000 population","Rate of incidents with an arrest per 1,000 population.",Number of incidents of arrest by arrestee age group.,IA DPS,"Total number of people divided by 1,000, by age group.",ACS,x,NA
HSN.CRM.ARR.002,Health and Social Needs,Community Crime,Arrest,NA,2,"Arrests per 1,000 population Over Time","Rate of incidents with an arrest per 1,000 population.",Number of incidents of arrest by arrestee age group.,IA DPS,"Total number of people divided by 1,000, by age group.",ACS,x,NA
HSN.CRM.ARR.003,Health and Social Needs,Community Crime,Arrest,NA,3,"Arrests per 1,000 population by Age Group","Rate of incidents with an arrest per 1,000 population by age group.",Number of incidents of arrest by arrestee age group.,IA DPS,"Total number of people divided by 1,000, by age group.",ACS,x,NA
HSN.CRM.ARR.004,Health and Social Needs,Community Crime,Arrest,NA,4,"Arrests per 1,000 population by Crime Type","Rate of incidents with an arrest per 1,000 population by crime type.",Number of incidents of arrest by crime type.,IA DPS,"Total number of people divided by 1,000, by age group.",ACS,x,NA
HSN.CRM.DMV.001,Health and Social Needs,Community Crime,Domestic Violence,Domestic Violence,1,"Domestic Violence (per 100,000 population)","Rate of domestic violence incidents per 100,000 population.",Number of domestic violence incidents.,IA DPS,"Total number of people divided by 100,000.",ACS,x,NA
HSN.CRM.DMV.002,Health and Social Needs,Community Crime,Domestic Violence,Domestic Violence,2,"Domestic Violence (per 100,000 population) Over Time","Rate of domestic violence incidents per 100,000 population over time.",Number of domestic violence incidents.,IA DPS,"Total number of people divided by 100,000.",ACS,x,NA
HSN.CRM.DMV.003,Health and Social Needs,Community Crime,Domestic Violence,Domestic Violence,3,Domestic Violence Victims by Sex,Domestic violence victims who are female.,Number of domestic violence incidents where the victim was female.,IA DPS,Total number of domestic violence incidents.,IA DPS,NA,NA
HSN.CRM.DMV.001,Health and Social Needs,Community Crime,Domestic Violence,Domestic Violence Children Present,1,"Domestic Violence by Child Presence (per 100,000 population)","Rate of domestic violence incidents per 100,000 population by child presence.",Number of domestic violence incidents by child presence.,IA DPS,"Total number of people divided by 100,000.",ACS,x,NA
HSN.CRM.DMV.002,Health and Social Needs,Community Crime,Domestic Violence,Domestic Violence Children Present,2,"Domestic Violence by Child Presence (per 100,000 population) Over Time","Rate of domestic violence incidents per 100,000 population by child presence over time.",Number of domestic violence incidents by child presence.,IA DPS,"Total number of people divided by 100,000.",ACS,x,NA
HSN.CRM.DMV.003,Health and Social Needs,Community Crime,Domestic Violence,Domestic Violence Children Present,3,Domestic Violence Incidents by Child Presence,Domestic violence incidents by children presence.,Number of domestic violence incidents by child presence.,IA DPS,Total number of domestic violence incidents.,IA DPS,NA,NA
SRV.SER.CCA.001,Services,Human Services,Availability of Child Care,NA,1,Availability of Child Care,Licensed/registered child care slots that are open.,Number of open child care slots in HHS licensed centers/preschools and registered child development homes.,IA HHS,N/A,IA HHS,NA,NA
SRV.SER.CCA.002,Services,Human Services,Availability of Child Care,NA,2,Availability of Child Care Over Time,Licensed/registered child care slots that are open over time.,Number of open child care slots in HHS licensed centers/preschools and registered child development homes.,IA HHS,N/A,IA HHS,NA,NA
SRV.SER.CCA.003,Services,Human Services,Availability of Child Care,NA,3,Availability of Child Care by Provider Type,Licensed/registered child care slots that are open by provider type.,"Number of open child care slots in HHS licensed centers/preschools and registered child development homes, by provider type.",IA HHS,Total number of open child care slots in HHS licensed centers/preschools and registered child development homes.,IA HHS,NA,NA
SRV.SER.SNP.001,Services,Human Services,SNAP,NA,1,Households Receiving SNAP,Households receiving SNAP benefits.,Number of households receiving SNAP by household type.,ACS,Total number of households by household type.,ACS,NA,NA
SRV.SER.SNP.002,Services,Human Services,SNAP,NA,2,Households Receiving SNAP Over Time,Households receiving SNAP benefits over time.,Number of households receiving SNAP by household type.,ACS,Total number of households by household type.,ACS,NA,NA
SRV.SER.SNP.003,Services,Human Services,SNAP,NA,3,Households Receiving SNAP by Federal Poverty Level,Households receiving SNAP benefits by federal poverty level.,"Number of households receiving SNAP, by federal poverty level.",ACS,Total number of households by federal poverty level.,ACS,NA,NA
SRV.SER.WIC.001,Services,Human Services,WIC,NA,1,Children Receiving WIC,Children receiving WIC benefits.,Number of children receiving WIC.,IA HHS,Total number of children.,ACS,x,NA
SRV.SER.WIC.002,Services,Human Services,WIC,NA,2,Children Receiving WIC Over Time,Children receiving WIC benefits over time.,Number of children receiving WIC.,IA HHS,Total number of children.,ACS,x,NA
SRV.SER.WIC.003,Services,Human Services,WIC,NA,3,Children Receiving WIC by Age Group,Children receiving WIC benefits by age group.,Number of children receiving WIC by age group.,IA HHS,Total number of children by age group.,ACS,x,NA
SRV.SER.WIC.003,Services,Human Services,WIC,NA,3,Children Receiving WIC by Age Group,Children receiving WIC benefits by age group.,Number of children whose mothers received WIC at time of birth.,VS Birth Records,Total live births.,VS Birth Records,NA,NA
SRV.SER.DNT.001,Services,Human Services,Dental Services,NA,1,Dental Services for Children 0-5 Enrolled in Medicaid,Medicaid-enrolled children ages 0-5 who received dental services.,Number of Medicaid-enrolled children ages 0-5 who received a reimbursed dental service.,IA HHS,Total number of Medicaid-enrolled children ages 0-5.,IA HHS,NA,NA
SRV.SER.DNT.002,Services,Human Services,Dental Services,NA,2,Dental Services for Children 0-5 Enrolled in Medicaid Over Time,Medicaid-enrolled children ages 0-5 who received dental services over time.,Number of Medicaid-enrolled children ages 0-5 who received a reimbursed dental service.,IA HHS,Total number of Medicaid-enrolled children ages 0-5.,IA HHS,NA,NA
SRV.SER.DNT.003,Services,Human Services,Dental Services,NA,3,Dental Services for Children 0-5 Enrolled in Medicaid by Age Group,Medicaid-enrolled children ages 0-5 who received dental services by age group.,Number of Medicaid-enrolled children ages 0-5 who received a reimbursed dental service by age group.,IA HHS,Total number of Medicaid-enrolled children ages 0-5 by age group.,IA HHS,NA,NA
SRV.SER.HCC.001,Services,Human Services,Health Coverage,NA,1,Children With Health Coverage,Children with health insurance coverage.,Number of children with health insurance coverage.,ACS,Total number of children.,ACS,NA,NA
SRV.SER.HCC.002,Services,Human Services,Health Coverage,NA,2,Children With Health Coverage Over Time,Children with health insurance coverage over time.,Number of children with health insurance coverage.,ACS,Total number of children.,ACS,NA,NA
SRV.SER.HCC.003,Services,Human Services,Health Coverage,NA,3,Children with Health Coverage by Federal Poverty Level,Children with health insurance coverage by federal poverty level.,Number of children with health insurance coverage by federal poverty level.,ACS,Total number of children by federal poverty level.,ACS,NA,NA
SRV.SER.FST.001,Services,Human Services,Foster Care,NA,1,"Children in Foster Care per 1,000 Children","Rate of children in foster care per 1,000 children.",Number of children in foster care by age group.,HHS,"Total number of children divided by 1,000, by age group.",ACS,x,NA
SRV.SER.FST.002,Services,Human Services,Foster Care,NA,2,"Children in Foster Care per 1,000 Children Over Time","Rate of children in foster care per 1,000 children over time.",Number of children in foster care by age group.,HHS,"Total number of children divided by 1,000, by age group.",ACS,x,NA
SRV.SER.FST.003,Services,Human Services,Foster Care,NA,3,"Children in Foster Care per 1,000 Children by Age Group","Rate of children in foster care per 1,000 children over time by age group.",Number of children in foster care by age group.,ACS,"Total number of children divided by 1,000, by age group.",ACS,NA,NA
